Mes,Estacao,Trecho,Sentido,Trecho macro,Tipo De Pistas,Numero de Pistas,Tipo de Pavimento,Numero de Faixas,Velocidade Maxima,Tipo da Chuva,Intervencao,Vazamento,Agua?,Vegetacao Baixa?,capimAlto,Arbustos,Floresta,Local,Com filhotes?,Faixa Horario da Coleta,Faixa de Quilometragem,mamifero mais atropelado
4,Outono,2,JF,Baixada,Sem divisão,1,Pavimento flexível (asfalto),4,110,Sem chuva,Desconhecido,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 100 e 125,0
4,Outono,4,JF,Serra,Sem divisão,1,Pavimento rígido,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
5,Outono,5,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
6,Outono,7,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
6,Outono,3,RJ,Serra,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acesso/ Retorno,Desconhecido,Entre 12 e 18,Entre 100 e 125,0
6,Outono,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
7,Inverno,6,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
7,Inverno,10,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
8,Inverno,2,JF,Baixada,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),8,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 100 e 125,0
8,Inverno,8,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 00,Entre 50 e 75,0
